delta_m,i_d,v_r,v_g,v_b
1,0.022654080,0.000000,0.000000,0.000000
1,0.022880620,0.000000,0.000000,0.000000
1,0.023109420,0.003922,0.003922,0.003922
1,0.023340520,0.000000,0.000000,0.000000
1,0.023573920,0.000000,0.000000,0.000000
1,0.023809660,0.003922,0.003922,0.003922
1,0.024047750,0.000000,0.000000,0.000000
1,0.024288230,0.003922,0.003922,0.003922
1,0.024531110,0.000000,0.000000,0.000000
1,0.024776420,0.000000,0.000000,0.000000
1,0.025024190,0.000000,0.000000,0.000000
1,0.025274430,0.000000,0.000000,0.000000
1,0.025527170,0.000000,0.000000,0.000000
1,0.025782440,0.003922,0.003922,0.003922
1,0.026040270,0.003922,0.003922,0.003922
1,0.026300670,0.003922,0.003922,0.003922
1,0.026563680,0.000000,0.000000,0.000000
1,0.026829310,0.000000,0.000000,0.000000
1,0.027097610,0.003922,0.003922,0.003922
1,0.027368580,0.000000,0.000000,0.000000
1,0.027642270,0.000000,0.000000,0.000000
1,0.027918690,0.003922,0.003922,0.003922
1,0.028197880,0.000000,0.000000,0.000000
1,0.028479860,0.003922,0.003922,0.003922
1,0.028764650,0.000000,0.000000,0.000000
1,0.029052300,0.000000,0.000000,0.000000
1,0.029342820,0.000000,0.000000,0.000000
1,0.029636250,0.000000,0.000000,0.000000
1,0.029932610,0.000000,0.000000,0.000000
1,0.030231940,0.003922,0.003922,0.003922
1,0.030534260,0.003922,0.003922,0.003922
1,0.030839600,0.003922,0.003922,0.003922
1,0.031147990,0.000000,0.000000,0.000000
1,0.031459470,0.000000,0.000000,0.000000
1,0.031774070,0.003922,0.003922,0.003922
1,0.032091810,0.000000,0.000000,0.000000
1,0.032412730,0.000000,0.000000,0.000000
1,0.032736850,0.003922,0.003922,0.003922
1,0.033064220,0.000000,0.000000,0.000000
1,0.033394860,0.003922,0.003922,0.003922
1,0.033728810,0.000000,0.000000,0.000000
1,0.034066100,0.000000,0.000000,0.000000
1,0.034406760,0.000000,0.000000,0.000000
1,0.034750830,0.000000,0.000000,0.000000
1,0.035098330,0.000000,0.000000,0.000000
1,0.035449310,0.003922,0.003922,0.003922
1,0.035803810,0.003922,0.003922,0.003922
1,0.036161840,0.003922,0.003922,0.003922
1,0.036523460,0.000000,0.000000,0.000000
1,0.036888700,0.000000,0.000000,0.000000
